Tag;Stunde;AVG_TA200
30.11.2020;00:00;-1,56
30.11.2020;01:00;-1,34
30.11.2020;02:00;-2,02
30.11.2020;03:00;-2,83
30.11.2020;04:00;-2,77
30.11.2020;05:00;-2,22
30.11.2020;06:00;-2,85
30.11.2020;07:00;-2,86
30.11.2020;08:00;-2,41
30.11.2020;09:00;-1,99
30.11.2020;10:00;-,69
30.11.2020;11:00;1,03
30.11.2020;12:00;1,70
30.11.2020;13:00;2,05
30.11.2020;14:00;2,43
30.11.2020;15:00;2,39
30.11.2020;16:00;1,37
30.11.2020;17:00;-,23
30.11.2020;18:00;-,69
30.11.2020;19:00;-,86
30.11.2020;20:00;-,87
30.11.2020;21:00;-1,32
30.11.2020;22:00;-1,48
30.11.2020;23:00;-,90
01.12.2020;00:00;-,61
01.12.2020;01:00;-,26
01.12.2020;02:00;,30
01.12.2020;03:00;1,07
01.12.2020;04:00;2,86
01.12.2020;05:00;3,41
01.12.2020;06:00;2,93
01.12.2020;07:00;,95
01.12.2020;08:00;,97
01.12.2020;09:00;1,29
01.12.2020;10:00;1,52
01.12.2020;11:00;1,72
01.12.2020;12:00;2,10
01.12.2020;13:00;2,59
01.12.2020;14:00;2,95
01.12.2020;15:00;2,92
01.12.2020;16:00;2,75
01.12.2020;17:00;2,35
01.12.2020;18:00;2,24
01.12.2020;19:00;2,15
01.12.2020;20:00;2,11
01.12.2020;21:00;2,03
01.12.2020;22:00;2,08
01.12.2020;23:00;1,97
02.12.2020;00:00;1,63
02.12.2020;01:00;1,43
02.12.2020;02:00;1,93
02.12.2020;03:00;1,80
02.12.2020;04:00;1,68
02.12.2020;05:00;1,67
02.12.2020;06:00;1,75
02.12.2020;07:00;1,85
02.12.2020;08:00;1,99
02.12.2020;09:00;2,09
02.12.2020;10:00;2,27
02.12.2020;11:00;2,67
02.12.2020;12:00;2,99
02.12.2020;13:00;3,30
02.12.2020;14:00;3,88
02.12.2020;15:00;3,59
02.12.2020;16:00;3,12
02.12.2020;17:00;2,47
02.12.2020;18:00;2,11
02.12.2020;19:00;1,81
02.12.2020;20:00;1,72
02.12.2020;21:00;1,74
02.12.2020;22:00;1,57
02.12.2020;23:00;1,39
03.12.2020;00:00;1,28
03.12.2020;01:00;1,20
03.12.2020;02:00;1,32
03.12.2020;03:00;1,27
03.12.2020;04:00;1,31
03.12.2020;05:00;1,67
03.12.2020;06:00;1,95
03.12.2020;07:00;2,29
03.12.2020;08:00;2,35
03.12.2020;09:00;2,52
03.12.2020;10:00;3,37
03.12.2020;11:00;4,05
03.12.2020;12:00;4,52
03.12.2020;13:00;5,68
03.12.2020;14:00;6,49
03.12.2020;15:00;6,18
03.12.2020;16:00;4,61
03.12.2020;17:00;3,04
03.12.2020;18:00;2,34
03.12.2020;19:00;2,88
03.12.2020;20:00;2,55
03.12.2020;21:00;2,49
03.12.2020;22:00;3,18
03.12.2020;23:00;3,48
04.12.2020;00:00;5,76
04.12.2020;01:00;6,61
04.12.2020;02:00;6,55
04.12.2020;03:00;7,31
04.12.2020;04:00;8,62
04.12.2020;05:00;8,24
04.12.2020;06:00;7,29
04.12.2020;07:00;6,99
04.12.2020;08:00;6,01
04.12.2020;09:00;5,48
04.12.2020;10:00;5,68
04.12.2020;11:00;5,05
04.12.2020;12:00;5,01
04.12.2020;13:00;5,40
04.12.2020;14:00;4,74
04.12.2020;15:00;4,61
04.12.2020;16:00;4,48
04.12.2020;17:00;4,37
04.12.2020;18:00;4,00
04.12.2020;19:00;3,68
04.12.2020;20:00;3,51
04.12.2020;21:00;3,51
04.12.2020;22:00;3,30
04.12.2020;23:00;3,11
05.12.2020;00:00;2,74
05.12.2020;01:00;2,02
05.12.2020;02:00;1,57
05.12.2020;03:00;1,80
05.12.2020;04:00;2,53
05.12.2020;05:00;2,94
05.12.2020;06:00;2,77
05.12.2020;07:00;2,65
05.12.2020;08:00;1,69
05.12.2020;09:00;1,63
05.12.2020;10:00;2,59
05.12.2020;11:00;3,26
05.12.2020;12:00;3,83
05.12.2020;13:00;4,61
05.12.2020;14:00;4,84
05.12.2020;15:00;4,37
05.12.2020;16:00;3,82
05.12.2020;17:00;3,59
05.12.2020;18:00;3,55
05.12.2020;19:00;3,51
05.12.2020;20:00;3,37
05.12.2020;21:00;3,43
05.12.2020;22:00;3,29
05.12.2020;23:00;2,98
06.12.2020;00:00;2,83
06.12.2020;01:00;2,88
06.12.2020;02:00;3,11
06.12.2020;03:00;3,19
06.12.2020;04:00;3,09
06.12.2020;05:00;2,83
06.12.2020;06:00;2,50
06.12.2020;07:00;2,67
06.12.2020;08:00;2,84
06.12.2020;09:00;2,86
06.12.2020;10:00;3,06
06.12.2020;11:00;3,64
06.12.2020;12:00;4,04
06.12.2020;13:00;4,31
06.12.2020;14:00;4,21
06.12.2020;15:00;4,19
06.12.2020;16:00;4,14
06.12.2020;17:00;4,08
06.12.2020;18:00;3,87
06.12.2020;19:00;3,74
06.12.2020;20:00;3,65
06.12.2020;21:00;3,50
06.12.2020;22:00;3,09
06.12.2020;23:00;2,82
07.12.2020;00:00;2,83
07.12.2020;01:00;2,80
07.12.2020;02:00;2,92
07.12.2020;03:00;2,89
07.12.2020;04:00;3,27
07.12.2020;05:00;3,45
07.12.2020;06:00;3,41
07.12.2020;07:00;3,22
07.12.2020;08:00;2,93
07.12.2020;09:00;3,50
07.12.2020;10:00;4,38
07.12.2020;11:00;4,76
07.12.2020;12:00;6,05
07.12.2020;13:00;6,34
07.12.2020;14:00;5,40
07.12.2020;15:00;5,14
07.12.2020;16:00;4,75
07.12.2020;17:00;4,24
07.12.2020;18:00;3,90
07.12.2020;19:00;2,90
07.12.2020;20:00;1,71
07.12.2020;21:00;,89
07.12.2020;22:00;,57
07.12.2020;23:00;,91
08.12.2020;00:00;,54
08.12.2020;01:00;,84
08.12.2020;02:00;1,19
08.12.2020;03:00;1,28
08.12.2020;04:00;1,12
08.12.2020;05:00;1,20
08.12.2020;06:00;,86
08.12.2020;07:00;,37
08.12.2020;08:00;-,25
08.12.2020;09:00;-,02
08.12.2020;10:00;1,88
08.12.2020;11:00;,98
08.12.2020;12:00;,25
08.12.2020;13:00;,56
08.12.2020;14:00;,96
08.12.2020;15:00;1,10
08.12.2020;16:00;1,03
08.12.2020;17:00;,96
08.12.2020;18:00;,84
08.12.2020;19:00;,94
08.12.2020;20:00;1,05
08.12.2020;21:00;1,08
08.12.2020;22:00;1,19
08.12.2020;23:00;1,12
09.12.2020;00:00;1,46
09.12.2020;01:00;1,67
09.12.2020;02:00;1,74
09.12.2020;03:00;1,86
09.12.2020;04:00;1,74
09.12.2020;05:00;1,48
09.12.2020;06:00;1,65
09.12.2020;07:00;1,79
09.12.2020;08:00;2,06
09.12.2020;09:00;2,07
09.12.2020;10:00;2,28
09.12.2020;11:00;2,45
09.12.2020;12:00;2,44
09.12.2020;13:00;2,31
09.12.2020;14:00;2,09
09.12.2020;15:00;2,25
09.12.2020;16:00;2,10
09.12.2020;17:00;1,34
09.12.2020;18:00;1,31
09.12.2020;19:00;,99
09.12.2020;20:00;,92
09.12.2020;21:00;,99
09.12.2020;22:00;,92
09.12.2020;23:00;,82
10.12.2020;00:00;,96
10.12.2020;01:00;,61
10.12.2020;02:00;,63
10.12.2020;03:00;,16
10.12.2020;04:00;,12
10.12.2020;05:00;,30
10.12.2020;06:00;,22
10.12.2020;07:00;-,40
10.12.2020;08:00;-,79
10.12.2020;09:00;-,17
10.12.2020;10:00;,50
10.12.2020;11:00;1,30
10.12.2020;12:00;1,90
10.12.2020;13:00;2,26
10.12.2020;14:00;2,28
10.12.2020;15:00;2,10
10.12.2020;16:00;2,03
10.12.2020;17:00;1,76
10.12.2020;18:00;1,39
10.12.2020;19:00;,31
10.12.2020;20:00;-,44
10.12.2020;21:00;-,77
10.12.2020;22:00;-,90
10.12.2020;23:00;-1,42
11.12.2020;00:00;-1,58
11.12.2020;01:00;-1,75
11.12.2020;02:00;-1,65
11.12.2020;03:00;-1,81
11.12.2020;04:00;-1,29
11.12.2020;05:00;-1,05
11.12.2020;06:00;-,76
11.12.2020;07:00;-,33
11.12.2020;08:00;-,42
11.12.2020;09:00;-,26
11.12.2020;10:00;,19
11.12.2020;11:00;1,94
11.12.2020;12:00;2,25
11.12.2020;13:00;1,74
11.12.2020;14:00;4,22
11.12.2020;15:00;6,79
11.12.2020;16:00;7,85
11.12.2020;17:00;8,23
11.12.2020;18:00;8,11
11.12.2020;19:00;7,43
11.12.2020;20:00;5,98
11.12.2020;21:00;6,52
11.12.2020;22:00;7,53
11.12.2020;23:00;5,90
12.12.2020;00:00;7,16
12.12.2020;01:00;8,71
12.12.2020;02:00;7,97
12.12.2020;03:00;7,20
12.12.2020;04:00;6,24
12.12.2020;05:00;5,76
12.12.2020;06:00;6,10
12.12.2020;07:00;6,41
12.12.2020;08:00;6,61
12.12.2020;09:00;7,03
12.12.2020;10:00;7,43
12.12.2020;11:00;7,92
12.12.2020;12:00;9,00
12.12.2020;13:00;8,92
12.12.2020;14:00;8,66
12.12.2020;15:00;8,61
12.12.2020;16:00;7,90
12.12.2020;17:00;7,38
12.12.2020;18:00;7,29
12.12.2020;19:00;7,36
12.12.2020;20:00;7,44
12.12.2020;21:00;7,42
12.12.2020;22:00;7,39
12.12.2020;23:00;7,32
13.12.2020;00:00;7,27
13.12.2020;01:00;6,94
13.12.2020;02:00;7,05
13.12.2020;03:00;6,94
13.12.2020;04:00;6,80
13.12.2020;05:00;6,77
13.12.2020;06:00;6,72
13.12.2020;07:00;6,44
13.12.2020;08:00;6,00
13.12.2020;09:00;5,78
13.12.2020;10:00;5,76
13.12.2020;11:00;5,93
13.12.2020;12:00;7,26
13.12.2020;13:00;7,48
13.12.2020;14:00;7,46
13.12.2020;15:00;6,71
13.12.2020;16:00;5,93
13.12.2020;17:00;4,99
13.12.2020;18:00;4,28
13.12.2020;19:00;4,17
13.12.2020;20:00;4,26
13.12.2020;21:00;4,31
13.12.2020;22:00;4,46
13.12.2020;23:00;4,39
14.12.2020;00:00;3,51
14.12.2020;01:00;2,99
14.12.2020;02:00;2,76
14.12.2020;03:00;2,11
14.12.2020;04:00;1,96
14.12.2020;05:00;2,45
14.12.2020;06:00;2,43
14.12.2020;07:00;2,77
14.12.2020;08:00;2,24
14.12.2020;09:00;2,56
14.12.2020;10:00;4,27
14.12.2020;11:00;7,25
14.12.2020;12:00;9,08
14.12.2020;13:00;8,19
14.12.2020;14:00;9,61
14.12.2020;15:00;8,86
14.12.2020;16:00;8,42
14.12.2020;17:00;7,69
14.12.2020;18:00;6,99
14.12.2020;19:00;6,13
14.12.2020;20:00;5,54
14.12.2020;21:00;4,81
14.12.2020;22:00;4,21
14.12.2020;23:00;4,14
15.12.2020;00:00;4,78
15.12.2020;01:00;5,23
15.12.2020;02:00;5,85
15.12.2020;03:00;5,90
15.12.2020;04:00;6,11
15.12.2020;05:00;5,80
15.12.2020;06:00;5,67
15.12.2020;07:00;5,45
15.12.2020;08:00;5,33
15.12.2020;09:00;6,66
15.12.2020;10:00;7,01
15.12.2020;11:00;7,03
15.12.2020;12:00;7,84
15.12.2020;13:00;8,93
15.12.2020;14:00;10,49
15.12.2020;15:00;10,56
15.12.2020;16:00;10,28
15.12.2020;17:00;9,88
15.12.2020;18:00;9,39
15.12.2020;19:00;9,27
15.12.2020;20:00;8,96
15.12.2020;21:00;8,33
15.12.2020;22:00;7,69
15.12.2020;23:00;7,40
16.12.2020;00:00;7,08
16.12.2020;01:00;6,84
16.12.2020;02:00;6,69
16.12.2020;03:00;6,44
16.12.2020;04:00;6,48
16.12.2020;05:00;6,70
16.12.2020;06:00;7,30
16.12.2020;07:00;7,40
16.12.2020;08:00;6,40
16.12.2020;09:00;6,76
16.12.2020;10:00;8,09
16.12.2020;11:00;8,77
16.12.2020;12:00;8,97
16.12.2020;13:00;9,58
16.12.2020;14:00;9,74
16.12.2020;15:00;9,95
16.12.2020;16:00;8,52
16.12.2020;17:00;7,11
16.12.2020;18:00;6,46
16.12.2020;19:00;5,97
16.12.2020;20:00;6,47
16.12.2020;21:00;6,15
16.12.2020;22:00;5,62
16.12.2020;23:00;5,32
17.12.2020;00:00;4,81
17.12.2020;01:00;4,33
17.12.2020;02:00;4,04
17.12.2020;03:00;3,85
17.12.2020;04:00;4,36
17.12.2020;05:00;4,89
17.12.2020;06:00;8,91
17.12.2020;07:00;11,05
17.12.2020;08:00;10,91
17.12.2020;09:00;11,16
17.12.2020;10:00;12,10
17.12.2020;11:00;12,12
17.12.2020;12:00;11,80
17.12.2020;13:00;11,92
17.12.2020;14:00;10,94
17.12.2020;15:00;10,82
17.12.2020;16:00;10,06
17.12.2020;17:00;9,60
17.12.2020;18:00;9,13
17.12.2020;19:00;8,73
17.12.2020;20:00;8,42
17.12.2020;21:00;8,12
17.12.2020;22:00;7,74
17.12.2020;23:00;7,39
18.12.2020;00:00;7,21
18.12.2020;01:00;6,54
18.12.2020;02:00;6,54
18.12.2020;03:00;6,07
18.12.2020;04:00;5,95
18.12.2020;05:00;6,04
18.12.2020;06:00;6,14
18.12.2020;07:00;5,78
18.12.2020;08:00;5,52
18.12.2020;09:00;5,44
18.12.2020;10:00;5,36
18.12.2020;11:00;6,47
18.12.2020;12:00;7,96
18.12.2020;13:00;9,16
18.12.2020;14:00;9,76
18.12.2020;15:00;9,03
18.12.2020;16:00;8,76
18.12.2020;17:00;8,22
18.12.2020;18:00;8,30
18.12.2020;19:00;8,00
18.12.2020;20:00;7,56
18.12.2020;21:00;7,73
18.12.2020;22:00;7,17
18.12.2020;23:00;5,97
19.12.2020;00:00;5,87
19.12.2020;01:00;6,34
19.12.2020;02:00;6,60
19.12.2020;03:00;6,63
19.12.2020;04:00;6,16
