"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","1443","202011300000","-3.4","1","0"
"TT_TU_MN009","1443","202011300100","-4.3","1","0"
"TT_TU_MN009","1443","202011300200","-4.8","1","0"
"TT_TU_MN009","1443","202011300300","-4.5","1","0"
"TT_TU_MN009","1443","202011300400","-5.4","1","0"
"TT_TU_MN009","1443","202011300500","-5.1","1","0"
"TT_TU_MN009","1443","202011300600","-5.7","1","0"
"TT_TU_MN009","1443","202011300700","-4.5","1","0"
"TT_TU_MN009","1443","202011300800","-3.7","1","0"
"TT_TU_MN009","1443","202011300900","-1.8","1","0"
"TT_TU_MN009","1443","202011301000","0.7","1","0"
"TT_TU_MN009","1443","202011301100","1.9","1","0"
"TT_TU_MN009","1443","202011301200","2.5","1","0"
"TT_TU_MN009","1443","202011301300","2.9","1","0"
"TT_TU_MN009","1443","202011301400","3","1","0"
"TT_TU_MN009","1443","202011301500","2.7","1","0"
"TT_TU_MN009","1443","202011301600","0.5","1","0"
"TT_TU_MN009","1443","202011301700","0.7","1","0"
"TT_TU_MN009","1443","202011301800","0","1","0"
"TT_TU_MN009","1443","202011301900","0.1","1","0"
"TT_TU_MN009","1443","202011302000","0.3","1","0"
"TT_TU_MN009","1443","202011302100","-1.8","1","0"
"TT_TU_MN009","1443","202011302200","-2.5","1","0"
"TT_TU_MN009","1443","202011302300","-1.2","1","0"
"TT_TU_MN009","1443","202012010000","0.6","1","0"
"TT_TU_MN009","1443","202012010100","0.9","1","0"
"TT_TU_MN009","1443","202012010200","1.3","1","0"
"TT_TU_MN009","1443","202012010300","2.8","1","0"
"TT_TU_MN009","1443","202012010400","3.5","1","0"
"TT_TU_MN009","1443","202012010500","3.8","1","0"
"TT_TU_MN009","1443","202012010600","1.6","1","0"
"TT_TU_MN009","1443","202012010700","1.1","1","0"
"TT_TU_MN009","1443","202012010800","1.7","1","0"
"TT_TU_MN009","1443","202012010900","1.6","1","0"
"TT_TU_MN009","1443","202012011000","2.1","1","0"
"TT_TU_MN009","1443","202012011100","2.5","1","0"
"TT_TU_MN009","1443","202012011200","3","1","0"
"TT_TU_MN009","1443","202012011300","3.1","1","0"
"TT_TU_MN009","1443","202012011400","3.5","1","0"
"TT_TU_MN009","1443","202012011500","3.1","1","0"
"TT_TU_MN009","1443","202012011600","2.7","1","0"
"TT_TU_MN009","1443","202012011700","2.7","1","0"
"TT_TU_MN009","1443","202012011800","2.6","1","0"
"TT_TU_MN009","1443","202012011900","2.3","1","0"
"TT_TU_MN009","1443","202012012000","1.6","1","0"
"TT_TU_MN009","1443","202012012100","2","1","0"
"TT_TU_MN009","1443","202012012200","1.7","1","0"
"TT_TU_MN009","1443","202012012300","1.7","1","0"
"TT_TU_MN009","1443","202012020000","1","1","0"
"TT_TU_MN009","1443","202012020100","0.9","1","0"
"TT_TU_MN009","1443","202012020200","1.2","1","0"
"TT_TU_MN009","1443","202012020300","1.3","1","0"
"TT_TU_MN009","1443","202012020400","1.4","1","0"
"TT_TU_MN009","1443","202012020500","1.6","1","0"
"TT_TU_MN009","1443","202012020600","1.8","1","0"
"TT_TU_MN009","1443","202012020700","2","1","0"
"TT_TU_MN009","1443","202012020800","2","1","0"
"TT_TU_MN009","1443","202012020900","2.2","1","0"
"TT_TU_MN009","1443","202012021000","2.5","1","0"
"TT_TU_MN009","1443","202012021100","2.7","1","0"
"TT_TU_MN009","1443","202012021200","3.6","1","0"
"TT_TU_MN009","1443","202012021300","3.9","1","0"
"TT_TU_MN009","1443","202012021400","4","1","0"
"TT_TU_MN009","1443","202012021500","3.6","1","0"
"TT_TU_MN009","1443","202012021600","2.8","1","0"
"TT_TU_MN009","1443","202012021700","2.4","1","0"
"TT_TU_MN009","1443","202012021800","2","1","0"
"TT_TU_MN009","1443","202012021900","1.9","1","0"
"TT_TU_MN009","1443","202012022000","1.9","1","0"
"TT_TU_MN009","1443","202012022100","1.7","1","0"
"TT_TU_MN009","1443","202012022200","1.5","1","0"
"TT_TU_MN009","1443","202012022300","1.3","1","0"
"TT_TU_MN009","1443","202012030000","0.8","1","0"
"TT_TU_MN009","1443","202012030100","1.3","1","0"
"TT_TU_MN009","1443","202012030200","1.5","1","0"
"TT_TU_MN009","1443","202012030300","1.2","1","0"
"TT_TU_MN009","1443","202012030400","1.1","1","0"
"TT_TU_MN009","1443","202012030500","0.9","1","0"
"TT_TU_MN009","1443","202012030600","1.9","1","0"
"TT_TU_MN009","1443","202012030700","2.9","1","0"
"TT_TU_MN009","1443","202012030800","3","1","0"
"TT_TU_MN009","1443","202012030900","3.4","1","0"
"TT_TU_MN009","1443","202012031000","4.2","1","0"
"TT_TU_MN009","1443","202012031100","4.6","1","0"
"TT_TU_MN009","1443","202012031200","4.7","1","0"
