year,means
1980,1.46448412698413
1981,1.92202380952381
1982,5.92837301587302
1983,1.31825216527603e-17
1984,3.62956349206349
1985,7.19345238095238
1986,4.80674603174603
1987,2.62480158730159
1988,4.92559523809524
1989,3.20138888888889
1990,0.224801587301587
1991,0.104166666666667
1992,5.43412698412698
1993,6.6406746031746
1994,7.10972222222222
1995,0.509126984126984
1996,4.13809523809524
1997,3.4172619047619
1998,3.48412698412698
1999,5.53809523809524
2000,9.47242063492063
2001,2.62936507936508
2002,3.37638888888889
2003,4.7859126984127
2004,1.60616302186879
2005,2.98313492063492
2006,6.33127490039841
2007,4.15952380952381
2008,2.28055555555556
2009,2.44503968253968
2010,-0.411904761904762
2011,6.78452380952381
2012,1.60634920634921
2013,1.61011904761905
2014,5.89404761904762
2015,7.48849206349206
2016,-0.39781746031746
2017,2.91884920634921
2018,5.78531746031746
2019,5.02162698412698
2020,4.2093253968254
